image_path,target,gender,skin_tone
images\sample_00000_mst1_male_t0.jpg,0,Male,1
images\sample_00001_mst2_male_t1.jpg,1,Male,2
images\sample_00002_mst3_male_t0.jpg,0,Male,3
images\sample_00003_mst4_male_t1.jpg,1,Male,4
images\sample_00004_mst5_male_t0.jpg,0,Male,5
images\sample_00005_mst6_male_t1.jpg,1,Male,6
images\sample_00006_mst7_male_t0.jpg,0,Male,7
images\sample_00007_mst8_male_t1.jpg,1,Male,8
images\sample_00008_mst9_male_t0.jpg,0,Male,9
images\sample_00009_mst10_male_t1.jpg,1,Male,10
images\sample_00010_mst1_female_t0.jpg,0,Female,1
images\sample_00011_mst2_female_t1.jpg,1,Female,2
images\sample_00012_mst3_female_t0.jpg,0,Female,3
images\sample_00013_mst4_female_t1.jpg,1,Female,4
images\sample_00014_mst5_female_t0.jpg,0,Female,5
images\sample_00015_mst6_female_t1.jpg,1,Female,6
images\sample_00016_mst7_female_t0.jpg,0,Female,7
images\sample_00017_mst8_female_t1.jpg,1,Female,8
images\sample_00018_mst9_female_t0.jpg,0,Female,9
images\sample_00019_mst10_female_t1.jpg,1,Female,10
images\sample_00020_mst1_male_t0.jpg,0,Male,1
images\sample_00021_mst2_male_t1.jpg,1,Male,2
images\sample_00022_mst3_male_t0.jpg,0,Male,3
images\sample_00023_mst4_male_t1.jpg,1,Male,4
images\sample_00024_mst5_male_t0.jpg,0,Male,5
images\sample_00025_mst6_male_t1.jpg,1,Male,6
images\sample_00026_mst7_male_t0.jpg,0,Male,7
images\sample_00027_mst8_male_t1.jpg,1,Male,8
images\sample_00028_mst9_male_t0.jpg,0,Male,9
images\sample_00029_mst10_male_t1.jpg,1,Male,10
images\sample_00030_mst1_female_t0.jpg,0,Female,1
images\sample_00031_mst2_female_t1.jpg,1,Female,2
images\sample_00032_mst3_female_t0.jpg,0,Female,3
images\sample_00033_mst4_female_t1.jpg,1,Female,4
images\sample_00034_mst5_female_t0.jpg,0,Female,5
images\sample_00035_mst6_female_t1.jpg,1,Female,6
images\sample_00036_mst7_female_t0.jpg,0,Female,7
images\sample_00037_mst8_female_t1.jpg,1,Female,8
images\sample_00038_mst9_female_t0.jpg,0,Female,9
images\sample_00039_mst10_female_t1.jpg,1,Female,10
images\sample_00040_mst1_male_t0.jpg,0,Male,1
images\sample_00041_mst2_male_t1.jpg,1,Male,2
images\sample_00042_mst3_male_t0.jpg,0,Male,3
images\sample_00043_mst4_male_t1.jpg,1,Male,4
images\sample_00044_mst5_male_t0.jpg,0,Male,5
images\sample_00045_mst6_male_t1.jpg,1,Male,6
images\sample_00046_mst7_male_t0.jpg,0,Male,7
images\sample_00047_mst8_male_t1.jpg,1,Male,8
images\sample_00048_mst9_male_t0.jpg,0,Male,9
images\sample_00049_mst10_male_t1.jpg,1,Male,10
images\sample_00050_mst1_female_t0.jpg,0,Female,1
images\sample_00051_mst2_female_t1.jpg,1,Female,2
images\sample_00052_mst3_female_t0.jpg,0,Female,3
images\sample_00053_mst4_female_t1.jpg,1,Female,4
images\sample_00054_mst5_female_t0.jpg,0,Female,5
images\sample_00055_mst6_female_t1.jpg,1,Female,6
images\sample_00056_mst7_female_t0.jpg,0,Female,7
images\sample_00057_mst8_female_t1.jpg,1,Female,8
images\sample_00058_mst9_female_t0.jpg,0,Female,9
images\sample_00059_mst10_female_t1.jpg,1,Female,10
images\sample_00060_mst1_male_t0.jpg,0,Male,1
images\sample_00061_mst2_male_t1.jpg,1,Male,2
images\sample_00062_mst3_male_t0.jpg,0,Male,3
images\sample_00063_mst4_male_t1.jpg,1,Male,4
images\sample_00064_mst5_male_t0.jpg,0,Male,5
images\sample_00065_mst6_male_t1.jpg,1,Male,6
images\sample_00066_mst7_male_t0.jpg,0,Male,7
images\sample_00067_mst8_male_t1.jpg,1,Male,8
images\sample_00068_mst9_male_t0.jpg,0,Male,9
images\sample_00069_mst10_male_t1.jpg,1,Male,10
images\sample_00070_mst1_female_t0.jpg,0,Female,1
images\sample_00071_mst2_female_t1.jpg,1,Female,2
images\sample_00072_mst3_female_t0.jpg,0,Female,3
images\sample_00073_mst4_female_t1.jpg,1,Female,4
images\sample_00074_mst5_female_t0.jpg,0,Female,5
images\sample_00075_mst6_female_t1.jpg,1,Female,6
images\sample_00076_mst7_female_t0.jpg,0,Female,7
images\sample_00077_mst8_female_t1.jpg,1,Female,8
images\sample_00078_mst9_female_t0.jpg,0,Female,9
images\sample_00079_mst10_female_t1.jpg,1,Female,10
images\sample_00080_mst1_male_t0.jpg,0,Male,1
images\sample_00081_mst2_male_t1.jpg,1,Male,2
images\sample_00082_mst3_male_t0.jpg,0,Male,3
images\sample_00083_mst4_male_t1.jpg,1,Male,4
images\sample_00084_mst5_male_t0.jpg,0,Male,5
images\sample_00085_mst6_male_t1.jpg,1,Male,6
images\sample_00086_mst7_male_t0.jpg,0,Male,7
images\sample_00087_mst8_male_t1.jpg,1,Male,8
images\sample_00088_mst9_male_t0.jpg,0,Male,9
images\sample_00089_mst10_male_t1.jpg,1,Male,10
